id;name;email;rsvp_status
1;Ergonomic Clothing Tala;Edmond14@gmail.com;true
2;Division connecting USB;Jewel_Dicki92@yahoo.com;true
3;Facilitator Knoll;Madeline_Block@hotmail.com;false
4;hacking challenge Gorgeous;Johathan.Weimann@gmail.com;false
5;scalable intuitive Sausages;Camille2@hotmail.com;true
6;leading-edge Configurable Brook;Orpha97@yahoo.com;true
7;Keyboard web-enabled Dinar;Jacklyn.Glover@yahoo.com;true
8;SQL hub;Raquel97@gmail.com;true
9;Cuban Cheese;Cody.Stracke@hotmail.com;true
10;engineer transmitter function;Yvette_Gerhold97@hotmail.com;true
